,precision,recall,f1-score,support
blues,1.0,0.9,0.9473684210526315,10.0
classical,0.9090909090909091,1.0,0.9523809523809523,10.0
country,0.8888888888888888,0.8,0.8421052631578947,10.0
disco,0.9,0.9,0.9,10.0
hiphop,1.0,0.8,0.8888888888888888,10.0
jazz,1.0,1.0,1.0,10.0
metal,0.8333333333333334,1.0,0.9090909090909091,10.0
pop,0.8181818181818182,0.9,0.8571428571428571,10.0
reggae,0.9,0.9,0.9,10.0
rock,0.8,0.8,0.8,10.0
accuracy,0.9,0.9,0.9,0.9
macro avg,0.904949494949495,0.9000000000000001,0.8996977291714134,100.0
weighted avg,0.904949494949495,0.9,0.8996977291714134,100.0
