,precision,recall,f1-score,support
blues,0.75,0.9,0.8181818181818182,10.0
classical,0.7692307692307693,1.0,0.8695652173913043,10.0
country,0.7777777777777778,0.7,0.7368421052631579,10.0
disco,0.7692307692307693,1.0,0.8695652173913043,10.0
hiphop,1.0,0.8,0.8888888888888888,10.0
jazz,1.0,1.0,1.0,10.0
metal,0.8333333333333334,1.0,0.9090909090909091,10.0
pop,0.75,0.6,0.6666666666666666,10.0
reggae,0.8888888888888888,0.8,0.8421052631578947,10.0
rock,1.0,0.6,0.75,10.0
accuracy,0.84,0.84,0.84,0.84
macro avg,0.8538461538461538,0.8400000000000001,0.8350906086031944,100.0
weighted avg,0.8538461538461539,0.84,0.8350906086031944,100.0
