,precision,recall,f1-score,support
blues,0.9,0.9,0.9,10.0
classical,0.9090909090909091,1.0,0.9523809523809523,10.0
country,0.875,0.7,0.7777777777777778,10.0
disco,0.9090909090909091,1.0,0.9523809523809523,10.0
hiphop,0.8571428571428571,0.6,0.7058823529411765,10.0
jazz,0.9,0.9,0.9,10.0
metal,0.9090909090909091,1.0,0.9523809523809523,10.0
pop,0.7272727272727273,0.8,0.7619047619047619,10.0
reggae,0.8,0.8,0.8,10.0
rock,0.6363636363636364,0.7,0.6666666666666666,10.0
accuracy,0.84,0.84,0.84,0.84
macro avg,0.8423051948051947,0.8399999999999999,0.8369374416433241,100.0
weighted avg,0.8423051948051947,0.84,0.836937441643324,100.0
