,blues,classical,country,disco,hiphop,jazz,metal,pop,reggae,rock
blues,9,0,1,0,0,0,0,0,0,0
classical,0,10,0,0,0,0,0,0,0,0
country,0,0,7,0,0,1,0,1,0,1
disco,0,0,0,10,0,0,0,0,0,0
hiphop,0,0,0,1,6,0,0,1,1,1
jazz,0,1,0,0,0,9,0,0,0,0
metal,0,0,0,0,0,0,10,0,0,0
pop,0,0,0,0,1,0,0,8,0,1
reggae,1,0,0,0,0,0,0,0,8,1
rock,0,0,0,0,0,0,1,1,1,7
