,blues,classical,country,disco,hiphop,jazz,metal,pop,reggae,rock
blues,6,1,1,0,1,0,0,0,0,1
classical,0,10,0,0,0,0,0,0,0,0
country,0,0,7,1,0,0,0,0,0,2
disco,1,0,0,9,0,0,0,0,0,0
hiphop,0,0,1,0,6,0,0,1,1,1
jazz,0,0,0,0,0,10,0,0,0,0
metal,0,0,0,1,0,0,7,0,0,2
pop,0,0,0,0,0,1,0,8,0,1
reggae,0,0,0,0,1,2,0,0,5,2
rock,2,0,1,2,1,0,0,0,1,3
