,blues,classical,country,disco,hiphop,jazz,metal,pop,reggae,rock
blues,9,0,0,0,0,1,0,0,0,0
classical,0,8,0,0,0,2,0,0,0,0
country,1,0,6,1,0,2,0,0,0,0
disco,0,0,0,8,2,0,0,0,0,0
hiphop,0,0,1,1,6,0,0,0,1,1
jazz,0,0,1,0,0,9,0,0,0,0
metal,0,0,0,0,0,0,9,0,0,1
pop,0,0,1,3,0,0,0,6,0,0
reggae,0,0,1,1,2,0,0,0,5,1
rock,0,0,3,2,1,1,2,0,0,1
