,blues,classical,country,disco,hiphop,jazz,metal,pop,reggae,rock
blues,6,1,0,3,0,0,0,0,0,0
classical,0,10,0,0,0,0,0,0,0,0
country,0,0,7,1,0,0,0,0,1,1
disco,0,0,0,8,0,0,0,2,0,0
hiphop,0,0,0,0,9,0,0,0,1,0
jazz,2,2,0,0,0,6,0,0,0,0
metal,1,0,0,0,0,0,9,0,0,0
pop,0,0,0,0,0,0,0,10,0,0
reggae,0,0,0,2,2,0,0,0,6,0
rock,1,0,1,2,0,0,1,3,1,1
