,precision,recall,f1-score,support
blues,0.46153846153846156,0.6,0.5217391304347826,10.0
classical,0.8181818181818182,0.9,0.8571428571428571,10.0
country,0.8,0.8,0.8,10.0
disco,0.4,0.2,0.26666666666666666,10.0
hiphop,0.38095238095238093,0.8,0.5161290322580645,10.0
jazz,0.8571428571428571,0.6,0.7058823529411765,10.0
metal,0.8,0.8,0.8,10.0
pop,0.5263157894736842,1.0,0.6896551724137931,10.0
reggae,0.75,0.3,0.42857142857142855,10.0
rock,0.0,0.0,0.0,10.0
accuracy,0.6,0.6,0.6,0.6
macro avg,0.5794131307289202,0.6,0.5585786640428769,100.0
weighted avg,0.5794131307289202,0.6,0.5585786640428769,100.0
