,blues,classical,country,disco,hiphop,jazz,metal,pop,reggae,rock
blues,6,2,0,0,0,0,2,0,0,0
classical,0,10,0,0,0,0,0,0,0,0
country,1,2,4,0,0,1,0,2,0,0
disco,0,1,0,3,1,0,0,3,2,0
hiphop,0,0,0,1,6,0,0,0,2,1
jazz,0,1,0,0,0,7,0,0,2,0
metal,0,0,0,0,0,0,10,0,0,0
pop,0,0,1,0,0,0,0,9,0,0
reggae,1,0,1,0,0,0,0,0,7,1
rock,1,2,1,0,0,0,4,1,0,1
