,precision,recall,f1-score,support
blues,0.6666666666666666,0.6,0.631578947368421,10.0
classical,0.5555555555555556,1.0,0.7142857142857143,10.0
country,0.5714285714285714,0.4,0.47058823529411764,10.0
disco,0.75,0.3,0.42857142857142855,10.0
hiphop,0.8571428571428571,0.6,0.7058823529411765,10.0
jazz,0.875,0.7,0.7777777777777778,10.0
metal,0.625,1.0,0.7692307692307693,10.0
pop,0.6,0.9,0.72,10.0
reggae,0.5384615384615384,0.7,0.6086956521739131,10.0
rock,0.3333333333333333,0.1,0.15384615384615385,10.0
accuracy,0.63,0.63,0.63,0.63
macro avg,0.6372588522588523,0.63,0.5980457031489472,100.0
weighted avg,0.6372588522588523,0.63,0.5980457031489472,100.0
