,blues,classical,country,disco,hiphop,jazz,metal,pop,reggae,rock
blues,7,1,1,0,0,0,0,0,0,1
classical,0,10,0,0,0,0,0,0,0,0
country,0,0,9,0,0,1,0,0,0,0
disco,0,0,1,8,0,0,0,1,0,0
hiphop,0,0,0,1,6,1,0,0,1,1
jazz,0,2,0,0,0,7,0,0,1,0
metal,0,0,0,0,0,0,10,0,0,0
pop,0,0,1,0,0,0,1,8,0,0
reggae,2,0,0,1,0,2,0,0,5,0
rock,0,0,4,0,0,0,2,0,0,4
