,precision,recall,f1-score,support
blues,0.5833333333333334,0.7,0.6363636363636364,10.0
classical,0.75,0.9,0.8181818181818182,10.0
country,0.42857142857142855,0.6,0.5,10.0
disco,0.4,0.2,0.26666666666666666,10.0
hiphop,0.5,0.5,0.5,10.0
jazz,0.0,0.0,0.0,10.0
metal,0.8888888888888888,0.8,0.8421052631578947,10.0
pop,0.5263157894736842,1.0,0.6896551724137931,10.0
reggae,0.35714285714285715,0.5,0.4166666666666667,10.0
rock,0.5,0.1,0.16666666666666666,10.0
accuracy,0.53,0.53,0.53,0.53
macro avg,0.4934252297410192,0.53,0.4836305890117143,100.0
weighted avg,0.49342522974101927,0.53,0.48363058901171413,100.0
