,blues,classical,country,disco,hiphop,jazz,metal,pop,reggae,rock
blues,7,0,2,0,0,1,0,0,0,0
classical,0,9,0,0,0,1,0,0,0,0
country,0,0,6,1,1,0,0,0,2,0
disco,2,0,2,2,0,0,0,3,1,0
hiphop,0,0,0,0,5,0,0,2,3,0
jazz,2,3,1,0,1,0,0,1,2,0
metal,1,0,0,0,0,0,8,0,0,1
pop,0,0,0,0,0,0,0,10,0,0
reggae,0,0,1,0,2,0,0,2,5,0
rock,0,0,2,2,1,1,1,1,1,1
