,blues,classical,country,disco,hiphop,jazz,metal,pop,reggae,rock
blues,9,0,0,0,0,1,0,0,0,0
classical,0,9,0,0,0,1,0,0,0,0
country,2,0,4,1,0,1,0,0,2,0
disco,0,1,0,6,0,0,0,2,1,0
hiphop,1,0,0,1,6,0,0,0,2,0
jazz,0,0,0,0,0,9,0,0,1,0
metal,0,0,0,0,0,0,10,0,0,0
pop,0,0,0,0,0,0,0,9,1,0
reggae,2,0,0,0,0,1,0,0,7,0
rock,1,0,2,1,1,1,1,0,1,2
