,blues,classical,country,disco,hiphop,jazz,metal,pop,reggae,rock
blues,8,0,2,0,0,0,0,0,0,0
classical,0,10,0,0,0,0,0,0,0,0
country,0,0,9,0,0,0,0,1,0,0
disco,1,0,0,9,0,0,0,0,0,0
hiphop,0,0,0,0,6,0,0,1,3,0
jazz,0,0,0,0,0,9,0,0,1,0
metal,0,0,0,0,0,0,9,0,0,1
pop,0,0,2,1,0,0,0,7,0,0
reggae,0,0,2,0,1,0,0,0,7,0
rock,1,0,1,1,2,0,0,0,1,4
