,blues,classical,country,disco,hiphop,jazz,metal,pop,reggae,rock
blues,6,0,1,0,2,0,1,0,0,0
classical,0,10,0,0,0,0,0,0,0,0
country,1,0,2,0,1,4,0,1,0,1
disco,1,0,0,5,2,0,1,0,0,1
hiphop,0,0,0,0,4,1,0,3,2,0
jazz,1,0,0,0,1,8,0,0,0,0
metal,0,0,0,0,0,0,9,0,0,1
pop,0,1,0,0,2,1,0,6,0,0
reggae,0,0,0,0,2,1,0,1,5,1
rock,0,0,0,0,1,0,3,1,1,4
