,blues,classical,country,disco,hiphop,jazz,metal,pop,reggae,rock
blues,4,2,0,0,0,2,1,0,0,1
classical,0,9,0,0,0,0,0,0,0,1
country,0,0,5,1,0,0,0,3,0,1
disco,0,0,1,4,2,1,0,2,0,0
hiphop,0,0,1,1,6,0,0,0,2,0
jazz,0,0,0,1,1,8,0,0,0,0
metal,0,0,0,0,0,0,10,0,0,0
pop,0,0,0,0,0,0,0,8,2,0
reggae,1,0,1,0,0,0,0,1,5,2
rock,0,1,0,1,0,0,3,2,0,3
