,blues,classical,country,disco,hiphop,jazz,metal,pop,reggae,rock
blues,4,1,0,1,0,0,0,0,1,3
classical,0,8,0,0,0,2,0,0,0,0
country,0,2,3,0,1,0,0,1,0,3
disco,1,0,0,1,2,0,0,1,1,4
hiphop,0,0,0,0,9,0,0,1,0,0
jazz,1,4,0,1,1,3,0,0,0,0
metal,0,0,0,0,0,0,10,0,0,0
pop,0,0,0,0,0,0,0,10,0,0
reggae,1,2,0,0,4,0,0,1,1,1
rock,0,0,1,1,2,0,1,1,0,4
