,precision,recall,f1-score,support
blues,0.5714285714285714,0.4,0.47058823529411764,10.0
classical,0.47058823529411764,0.8,0.5925925925925926,10.0
country,0.75,0.3,0.42857142857142855,10.0
disco,0.25,0.1,0.14285714285714285,10.0
hiphop,0.47368421052631576,0.9,0.6206896551724138,10.0
jazz,0.6,0.3,0.4,10.0
metal,0.9090909090909091,1.0,0.9523809523809523,10.0
pop,0.6666666666666666,1.0,0.8,10.0
reggae,0.3333333333333333,0.1,0.15384615384615385,10.0
rock,0.26666666666666666,0.4,0.32,10.0
accuracy,0.53,0.53,0.53,0.53
macro avg,0.529145859300658,0.53,0.48815261607148025,100.0
weighted avg,0.529145859300658,0.53,0.48815261607148025,100.0
