,precision,recall,f1-score,support
blues,0.8,0.8,0.8,10.0
classical,0.9090909090909091,1.0,0.9523809523809523,10.0
country,0.7,0.7,0.7,10.0
disco,0.9090909090909091,1.0,0.9523809523809523,10.0
hiphop,0.9,0.9,0.9,10.0
jazz,0.7692307692307693,1.0,0.8695652173913043,10.0
metal,1.0,1.0,1.0,10.0
pop,0.7777777777777778,0.7,0.7368421052631579,10.0
reggae,0.7777777777777778,0.7,0.7368421052631579,10.0
rock,0.8571428571428571,0.6,0.7058823529411765,10.0
accuracy,0.84,0.84,0.84,0.84
macro avg,0.8400111000111,0.8400000000000001,0.8353893685620701,100.0
weighted avg,0.8400111000110999,0.84,0.8353893685620701,100.0
