,blues,classical,country,disco,hiphop,jazz,metal,pop,reggae,rock
blues,6,0,0,2,0,1,0,0,0,1
classical,0,10,0,0,0,0,0,0,0,0
country,0,2,4,0,0,0,0,1,0,3
disco,1,0,1,8,0,0,0,0,0,0
hiphop,0,0,0,1,8,0,0,1,0,0
jazz,0,1,0,0,0,9,0,0,0,0
metal,0,0,0,0,0,0,10,0,0,0
pop,0,2,1,1,0,0,0,5,1,0
reggae,3,0,0,0,1,0,0,0,6,0
rock,1,0,3,2,0,0,3,0,0,1
