,blues,classical,country,disco,hiphop,jazz,metal,pop,reggae,rock
blues,7,0,1,0,1,0,1,0,0,0
classical,0,10,0,0,0,0,0,0,0,0
country,2,0,5,0,0,0,1,1,0,1
disco,1,0,0,2,0,0,3,0,0,4
hiphop,1,0,0,0,4,0,0,3,2,0
jazz,5,0,2,0,2,1,0,0,0,0
metal,1,0,0,0,0,0,8,0,0,1
pop,0,1,0,0,2,1,0,6,0,0
reggae,0,1,1,0,3,0,0,0,5,0
rock,0,0,1,1,1,0,3,1,0,3
