,blues,classical,country,disco,hiphop,jazz,metal,pop,reggae,rock
blues,5,0,0,2,1,1,1,0,0,0
classical,0,8,0,0,0,2,0,0,0,0
country,1,1,5,2,0,1,0,0,0,0
disco,0,0,2,6,0,0,0,1,0,1
hiphop,0,0,0,1,8,0,0,1,0,0
jazz,0,2,0,0,0,8,0,0,0,0
metal,0,0,0,0,0,0,9,0,0,1
pop,0,0,0,0,0,0,0,10,0,0
reggae,0,0,0,1,5,0,0,1,3,0
rock,0,0,0,4,0,1,0,4,0,1
