,precision,recall,f1-score,support
blues,0.8333333333333334,0.5,0.625,10.0
classical,0.7272727272727273,0.8,0.7619047619047619,10.0
country,0.7142857142857143,0.5,0.5882352941176471,10.0
disco,0.375,0.6,0.46153846153846156,10.0
hiphop,0.5714285714285714,0.8,0.6666666666666666,10.0
jazz,0.6153846153846154,0.8,0.6956521739130435,10.0
metal,0.9,0.9,0.9,10.0
pop,0.5882352941176471,1.0,0.7407407407407407,10.0
reggae,1.0,0.3,0.46153846153846156,10.0
rock,0.3333333333333333,0.1,0.15384615384615385,10.0
accuracy,0.63,0.63,0.63,0.63
macro avg,0.6658273589155942,0.63,0.6055122714265937,100.0
weighted avg,0.6658273589155942,0.63,0.6055122714265937,100.0
