,blues,classical,country,disco,hiphop,jazz,metal,pop,reggae,rock
blues,1,0,1,1,0,4,3,0,0,0
classical,0,8,0,1,0,1,0,0,0,0
country,0,3,1,1,0,0,0,1,1,3
disco,1,0,0,5,0,0,1,1,1,1
hiphop,0,0,0,0,7,0,1,1,1,0
jazz,0,1,0,0,0,6,2,0,1,0
metal,0,0,0,0,0,0,10,0,0,0
pop,0,1,0,1,0,0,0,6,2,0
reggae,0,1,0,0,0,1,1,0,7,0
rock,1,0,1,2,0,0,3,1,1,1
