,blues,classical,country,disco,hiphop,jazz,metal,pop,reggae,rock
blues,7,0,0,0,0,1,1,0,0,1
classical,2,7,0,0,0,0,0,0,0,1
country,4,0,2,2,0,1,0,0,1,0
disco,1,0,0,5,0,0,3,1,0,0
hiphop,0,0,0,3,3,0,1,0,3,0
jazz,1,3,2,1,0,1,0,0,2,0
metal,0,0,0,0,0,0,10,0,0,0
pop,0,0,0,2,0,0,0,7,1,0
reggae,0,0,1,2,0,0,0,0,6,1
rock,1,0,0,0,1,0,5,1,2,0
