,precision,recall,f1-score,support
blues,0.4375,0.7,0.5384615384615384,10.0
classical,0.7,0.7,0.7,10.0
country,0.4,0.2,0.26666666666666666,10.0
disco,0.3333333333333333,0.5,0.4,10.0
hiphop,0.75,0.3,0.42857142857142855,10.0
jazz,0.3333333333333333,0.1,0.15384615384615385,10.0
metal,0.5,1.0,0.6666666666666666,10.0
pop,0.7777777777777778,0.7,0.7368421052631579,10.0
reggae,0.4,0.6,0.48,10.0
rock,0.0,0.0,0.0,10.0
accuracy,0.48,0.48,0.48,0.48
macro avg,0.46319444444444446,0.47999999999999987,0.4371054559475612,100.0
weighted avg,0.4631944444444444,0.48,0.4371054559475611,100.0
