,blues,classical,country,disco,hiphop,jazz,metal,pop,reggae,rock
blues,8,1,1,0,0,0,0,0,0,0
classical,0,10,0,0,0,0,0,0,0,0
country,0,0,8,1,0,1,0,0,0,0
disco,0,0,1,8,0,0,0,1,0,0
hiphop,0,0,1,1,6,0,0,0,1,1
jazz,0,1,0,0,0,8,0,1,0,0
metal,0,0,0,0,0,0,10,0,0,0
pop,0,0,0,0,0,0,0,10,0,0
reggae,3,0,0,0,0,0,0,0,6,1
rock,0,0,1,0,0,0,2,2,0,5
