,blues,classical,country,disco,hiphop,jazz,metal,pop,reggae,rock
blues,8,0,1,0,0,1,0,0,0,0
classical,0,9,0,0,0,0,0,0,0,1
country,0,1,8,0,0,0,0,0,1,0
disco,0,0,0,8,0,0,1,1,0,0
hiphop,0,0,1,1,6,0,0,0,1,1
jazz,0,0,0,0,0,9,0,1,0,0
metal,0,0,0,0,0,0,10,0,0,0
pop,0,0,1,0,0,0,0,9,0,0
reggae,1,0,1,0,0,0,0,0,7,1
rock,0,0,2,1,0,0,2,0,0,5
