,precision,recall,f1-score,support
blues,0.35714285714285715,1.0,0.5263157894736842,10.0
classical,0.8571428571428571,0.6,0.7058823529411765,10.0
country,1.0,0.1,0.18181818181818182,10.0
disco,0.23809523809523808,0.5,0.3225806451612903,10.0
hiphop,0.5,0.3,0.375,10.0
jazz,1.0,0.5,0.6666666666666666,10.0
metal,1.0,0.7,0.8235294117647058,10.0
pop,1.0,0.3,0.46153846153846156,10.0
reggae,0.4375,0.7,0.5384615384615384,10.0
rock,0.16666666666666666,0.1,0.125,10.0
accuracy,0.48,0.48,0.48,0.48
macro avg,0.6556547619047619,0.48,0.4726793047825705,100.0
weighted avg,0.6556547619047619,0.48,0.4726793047825706,100.0
