,blues,classical,country,disco,hiphop,jazz,metal,pop,reggae,rock
blues,6,1,0,0,0,0,2,0,1,0
classical,0,10,0,0,0,0,0,0,0,0
country,2,1,3,2,0,0,0,2,0,0
disco,0,1,0,5,2,0,1,1,0,0
hiphop,0,0,0,0,7,0,0,1,1,1
jazz,2,3,0,0,1,3,1,0,0,0
metal,0,0,0,0,0,0,10,0,0,0
pop,0,0,1,0,1,0,0,8,0,0
reggae,0,0,0,0,5,0,0,0,4,1
rock,1,1,2,1,0,0,0,3,0,2
