,blues,classical,country,disco,hiphop,jazz,metal,pop,reggae,rock
blues,7,0,0,0,0,0,1,0,2,0
classical,0,3,0,0,0,3,0,0,4,0
country,3,0,0,0,3,1,0,0,3,0
disco,5,0,0,2,2,0,1,0,0,0
hiphop,1,0,0,1,6,0,0,0,2,0
jazz,1,0,0,0,2,0,0,0,7,0
metal,1,0,0,0,1,0,8,0,0,0
pop,0,0,0,0,7,0,0,0,3,0
reggae,0,0,0,0,3,0,0,0,7,0
rock,2,0,0,0,5,0,2,0,1,0
