,precision,recall,f1-score,support
blues,0.9,0.9,0.9,10.0
classical,0.9090909090909091,1.0,0.9523809523809523,10.0
country,0.7692307692307693,1.0,0.8695652173913043,10.0
disco,1.0,1.0,1.0,10.0
hiphop,0.8333333333333334,1.0,0.9090909090909091,10.0
jazz,1.0,0.8,0.8888888888888888,10.0
metal,1.0,0.9,0.9473684210526315,10.0
pop,0.7692307692307693,1.0,0.8695652173913043,10.0
reggae,1.0,0.9,0.9473684210526315,10.0
rock,0.8,0.4,0.5333333333333333,10.0
accuracy,0.89,0.89,0.89,0.89
macro avg,0.8980885780885781,0.89,0.8817561360581955,100.0
weighted avg,0.8980885780885782,0.89,0.8817561360581955,100.0
