,blues,classical,country,disco,hiphop,jazz,metal,pop,reggae,rock
blues,5,0,0,2,1,0,1,0,0,1
classical,0,10,0,0,0,0,0,0,0,0
country,0,1,6,1,0,0,0,0,0,2
disco,1,0,1,4,1,0,0,3,0,0
hiphop,0,0,0,0,9,0,0,1,0,0
jazz,2,2,0,1,0,5,0,0,0,0
metal,0,0,0,1,0,0,8,0,0,1
pop,0,0,0,0,0,0,0,10,0,0
reggae,0,0,0,0,7,0,0,0,3,0
rock,0,0,1,2,2,2,0,1,0,2
