,precision,recall,f1-score,support
blues,0.7692307692307693,1.0,0.8695652173913043,10.0
classical,0.9090909090909091,1.0,0.9523809523809523,10.0
country,0.8181818181818182,0.9,0.8571428571428571,10.0
disco,0.8,0.8,0.8,10.0
hiphop,0.8571428571428571,0.6,0.7058823529411765,10.0
jazz,0.8181818181818182,0.9,0.8571428571428571,10.0
metal,0.8333333333333334,1.0,0.9090909090909091,10.0
pop,0.8181818181818182,0.9,0.8571428571428571,10.0
reggae,0.8333333333333334,0.5,0.625,10.0
rock,0.625,0.5,0.5555555555555556,10.0
accuracy,0.81,0.81,0.81,0.81
macro avg,0.8081676656676656,0.8099999999999999,0.7988903558788468,100.0
weighted avg,0.8081676656676656,0.81,0.7988903558788469,100.0
