,blues,classical,country,disco,hiphop,jazz,metal,pop,reggae,rock
blues,7,1,1,1,0,0,0,0,0,0
classical,0,10,0,0,0,0,0,0,0,0
country,0,2,3,1,0,2,0,1,0,1
disco,0,0,0,6,1,0,1,0,0,2
hiphop,0,1,0,1,7,0,0,0,1,0
jazz,1,2,0,0,0,6,0,1,0,0
metal,1,0,0,0,0,0,9,0,0,0
pop,0,0,0,0,0,0,0,9,0,1
reggae,0,0,1,0,1,0,0,1,5,2
rock,0,0,2,1,0,0,1,2,0,4
